database,category,workload,iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms
Neo4j,Traversal,1-hop,100,50.44,59.49,52.36,47.64,142.88
Neo4j,Traversal,2-hop,100,50.02,163.87,62.10,47.85,198.14
Neo4j,Traversal,3-hop,100,50.22,182.32,82.24,47.78,300.51
Neo4j,Lookup,Point lookup,100,49.88,51.92,50.11,47.28,58.72
Neo4j,Lookup,Filtered lookup,100,48.96,56.89,49.75,47.20,60.88
Neo4j,Aggregation,Group-by,100,67.44,78.58,69.17,62.87,92.17
